상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA0101202411A0043163,멜로우네일,,S2,수리·개인,S207,이용·미용,S20703,네일숍,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 277-6,경상북도 경주시 황성로 62,129.217457923135,35.8674619476351
MA0101202411A0045913,영성루,,I2,음식,I202,중식,I20201,중국집,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 109,경상북도 경주시 갓뒤길 12-5,129.217990125736,35.870668831676
MA0101202411A0064252,봉봉랜드,,R1,예술·스포츠,R103,스포츠 서비스,R10314,기타 스포츠시설 운영업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 872-1,경상북도 경주시 유림로5번길 5,129.213178795203,35.8732084395291
MA0101202411A0072722,베러먼데이경주,황성점,I2,음식,I212,비알코올 ,I21201,카페,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1080,경상북도 경주시 원화로 383,129.218411216664,35.8548027338058
MA0101202411A0085848,소서화,,G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 255-3,경상북도 경주시 원지길20번길 1,129.220348667514,35.8679131128064
MA0101202411A0086600,프라미스부품유통,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-76,경상북도 경주시 황성로1번길 27-1,129.213513731871,35.8657506570263
MA0101202411A0109432,황성숯불뒷고기,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 493-1,경상북도 경주시 황성로 61-19,129.215580724823,35.8684246704335
MA0101202411A0109758,맞춤에듀,,P1,교육,P107,교육 지원,P10799,기타 교육지원 서비스업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 533,경상북도 경주시 용담로92번길 27,129.212488999904,35.8663191772928
MA0101202411A0114535,조은공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1385,경상북도 경주시 유림로97번길 9,129.220452254226,35.869244736119
MA0101202411A0121096,피크영어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-77,경상북도 경주시 황성로1번길 23-4,129.21343277682,35.8656260034765
MA0101202411A0123382,위스프레소,,I2,음식,I212,비알코올 ,I21201,카페,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 244-8,경상북도 경주시 원지길 14,129.219604344313,35.8682152064298
MA0101202411A0131687,화이트리에경주점,,I2,음식,I210,기타 간이,I21001,빵/도넛,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1346,경상북도 경주시 광중길 35,129.223807190706,35.8811484373409
MA0101202411A0135983,개그스토리,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 516,경상북도 경주시 용담로104번길 52,129.213676453083,35.8680182812921
MA0101202411A0141488,오헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-76,경상북도 경주시 황성로1번길 27-1,129.213513731871,35.8657506570263
MA0101202411A0155869,난다학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 470,경상북도 경주시 황성로16번길 7,129.214375068883,35.8644823291402
MA0101202412A0005168,더테라스스파,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1067-10,경상북도 경주시 광중길 11,129.224389078774,35.8793896452749
MA0101202412A0005664,어게인수학과학학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-49,경상북도 경주시 황성로 19,129.213793413279,35.8650607097662
MA0101202412A0018584,오븐에꾸운닭,,I2,음식,I210,기타 간이,I21006,치킨,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1240,경상북도 경주시 현진앞2길 6,129.223910193771,35.88443531529
MA0101202412A0024618,구도,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 508-1,경상북도 경주시 용담로92번길 38,129.213914751978,35.8662388369035
MA0101202412A0026464,잉글리시아이황성영어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 251-7,경상북도 경주시 황성로64번길 35,129.221023838005,35.8667202643647
MA0101202412A0051587,달한스푼,,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 244-15,경상북도 경주시 원지길12번길 7,129.219380808539,35.867741787018
MA0101202412A0053829,한걸음마케팅,,M1,과학·기술,M105,광고,M10501,광고 대행업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 273-1,경상북도 경주시 황성로69번길 3,129.217177011695,35.8681068735044
MA0101202412A0056622,조이헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 251-20,경상북도 경주시 황성로64번길 36,129.221040434894,35.8665217286192
MA0101202412A0058856,도현기술감리단,,M1,과학·기술,M109,기술 서비스,M10999,기타 엔지니어링 서비스업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 73-22,경상북도 경주시 유림로 79,129.219580439936,35.868945490588
MA0101202412A0061367,에스엔에스무인분식경주,황성점,G2,소매,G204,종합 소매,G20404,슈퍼마켓,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 450-10,경상북도 경주시 황성로 15,129.21360987764,35.8648298224268
MA0101202412A0069715,먹거리분식,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 507-2,경상북도 경주시 황성로 35-5,129.214512673859,35.8666422905375
MA0101202412A0071971,유디아이영어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 262-8,경상북도 경주시 황성로64번길 24,129.219800507917,35.8669140827056
MA0101202412A0081896,이랑,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 295,경상북도 경주시 황성로16번길 39,129.21746540112,35.8637585324392
MA0101202412A0083855,더레드커뮤니케이션즈,,N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1284,경상북도 경주시 용황로 24,129.220903628193,35.8822383769471
MA0101202412A0084175,브라더한정식도시락경주,황성점,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 263-3,경상북도 경주시 원지길12번길 44,129.219889058755,35.8649301573843
MA0101202412A0084236,점핑K,,R1,예술·스포츠,R103,스포츠 서비스,R10314,기타 스포츠시설 운영업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 242-10,경상북도 경주시 황성로64번길 9-16,129.21875768675,35.8680236144245
MA0101202501A0000906,헌터스커피경주점,,I2,음식,I212,비알코올 ,I21201,카페,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1385,경상북도 경주시 유림로97번길 9,129.220452254226,35.869244736119
MA0101202501A0003691,경북지앤비남부본부,,G2,소매,G213,오락용품 소매,G21301,서점,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 470,경상북도 경주시 황성로16번길 7,129.214375068883,35.8644823291402
MA0101202501A0005077,마녀부엌,,I2,음식,I202,중식,I20201,중국집,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 903-5,경상북도 경주시 용담로116번길 26,129.210665135737,35.8668122994221
MA0101202501A0026615,몽그리,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 269-4,경상북도 경주시 원지길12번길 13,129.219146211468,35.8672685715332
MA0101202501A0028449,순살아구몽,,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-76,경상북도 경주시 황성로1번길 27-1,129.213513731871,35.8657506570263
MA0101202501A0029558,이화수학교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 450-10,경상북도 경주시 황성로 15,129.21360987764,35.8648298224268
MA0101202501A0030043,빽보이피자경주,황성점,I2,음식,I210,기타 간이,I21003,피자,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-33,경상북도 경주시 황성로27번길 5,129.213968104237,35.8657693117794
MA0101202501A0034346,경주베스트신경외과의원,,Q1,보건의료,Q102,의원,Q10202,외과 의원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 473-6,경상북도 경주시 황성로28번길 9,129.215517081187,35.8653442849458
MA0101202501A0038102,넘버원PT스튜디오,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 263-11,경상북도 경주시 황성로64번길 30-28,129.219890048107,35.8657590961018
MA0101202501A0042634,그릿헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-99,경상북도 경주시 황성로28번길 8,129.215045880734,35.8651187069703
MA0101202501A0047126,박서현국어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 511,경상북도 경주시 황성로 37,129.215045784983,35.8663080830007
MA0101202501A0048259,불닭발땡초동대문엽기떡볶이경주,황성점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-46,경상북도 경주시 황성로 21-5,129.213611842865,35.865298327763
MA0101202501A0061209,헬로팬닭갈비,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 244-36,경상북도 경주시 원지길20번길 11,129.219896810092,35.8671916248219
MA0101202501A0073629,윤쥬얼리,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 533,경상북도 경주시 황성로27번길 15,129.213073888949,35.8662543368171
MA0101202502A0010766,명성사진관,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 255-14,경상북도 경주시 원지길20번길 5,129.220232496498,35.867717032083
MA0101202502A0012775,조이쌤리얼영어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 533,경상북도 경주시 황성로27번길 15,129.213073888949,35.8662543368171
MA0101202502A0014928,엠엠에이스토리경주,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1268,경상북도 경주시 용황로 22,129.220569631449,35.882172471878
MA0101202502A0018968,올가드림뷰티,황성점,S2,수리·개인,S207,이용·미용,S20703,네일숍,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 503,경상북도 경주시 황성로 35-3,129.214476006963,35.8661203628823
MA0101202502A0038182,대패생각,,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1067-5,경상북도 경주시 광중길 7,129.225087457907,35.87902529981
MA0101202502A0043223,해인요가원,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 244-8,경상북도 경주시 원지길 14,129.219604344313,35.8682152064298
