상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220804679373,연하집,,I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 931,강원특별자치도 영월군 영월읍 제방안길 16-1,128.471305728606,37.1828636002287
MA010120220804679378,살구나무집,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 992-1,강원특별자치도 영월군 영월읍 영모전길 24,128.471282817737,37.184584744353
MA010120220804679404,보물섬,,I2,음식,I211,주점,I21104,요리 주점,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 979-4,강원특별자치도 영월군 영월읍 중앙로 51,128.469474635677,37.1836701758097
MA010120220804679408,시티CAFE단란주점,,I2,음식,I211,주점,I21104,요리 주점,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 252-1,강원특별자치도 영월군 영월읍 중앙로 9,128.464816810635,37.1838810292277
MA010120220804679410,비누벌레공방,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 943-2,강원특별자치도 영월군 영월읍 요리골목길 15,128.469113076542,37.1830259591269
MA010120220804679412,신라장여관,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 574-226,강원특별자치도 영월군 영월읍 중앙로 147,128.47769061226,37.1794054770473
MA010120220804679415,쿠퍼트레이닝센터,,Q1,보건의료,Q104,기타 보건,Q10402,유사 의료업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 939-2,강원특별자치도 영월군 영월읍 중앙로 60,128.470289128403,37.1832816604185
MA010120220804679464,금곡상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 5-27,강원특별자치도 영월군 영월읍 서부시장길 11,128.46638833355,37.1830416996575
MA010120220804679498,하송세탁소,,S2,수리·개인,S209,세탁,S20901,세탁소,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 184-19,강원특별자치도 영월군 영월읍 하송안길 25,128.464350696026,37.1813190146744
MA010120220804679508,씨유영월레스트힐점,,G2,소매,G204,종합 소매,G20405,편의점,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 53,강원특별자치도 영월군 영월읍 제방안길 64,128.467878279739,37.1797346905386
